"sample","ahrr","epismoke","joehanes","epitob","smoking_raw","smoking","cohort"
"GSM1225452",0.82381,0.6356425,0.728894444444445,0.733888333333333,1,"former","GSE50660"
"GSM1225453",0.51227,0.45833,0.610641111111111,0.623571666666667,1,"former","GSE50660"
"GSM1225454",0.68785,0.5306125,0.657352222222222,0.658740833333333,1,"former","GSE50660"
"GSM1225455",0.48584,0.4897925,0.638175555555555,0.6463625,1,"former","GSE50660"
"GSM1225456",0.6237,0.5420375,0.649374444444444,0.673704166666667,1,"former","GSE50660"
"GSM1225457",0.64637,0.5431425,0.660105555555556,0.661475833333333,1,"former","GSE50660"
"GSM1225458",0.70421,0.56795,0.684101111111111,0.701161666666667,1,"former","GSE50660"
"GSM1225459",0.61344,0.53185,0.66466,0.682011666666667,1,"former","GSE50660"
"GSM1225460",0.82961,0.623435,0.723675555555555,0.7235725,0,"never","GSE50660"
"GSM1225461",0.59716,0.5174525,0.636884444444444,0.660341666666667,1,"former","GSE50660"
"GSM1225462",0.55113,0.4720075,0.644897777777778,0.669973333333333,1,"former","GSE50660"
"GSM1225463",0.70672,0.5788825,0.683637777777778,0.693559166666667,1,"former","GSE50660"
"GSM1225464",0.496,0.46628,0.600502222222222,0.593899166666667,1,"former","GSE50660"
"GSM1225465",0.83257,0.6354575,0.716667777777778,0.7085225,1,"former","GSE50660"
"GSM1225466",0.70741,0.54124,0.65935,0.670640833333333,1,"former","GSE50660"
"GSM1225467",0.53933,0.4648625,0.614624444444444,0.6490375,1,"former","GSE50660"
"GSM1225468",0.42047,0.4445725,0.588067777777778,0.609808333333333,1,"former","GSE50660"
"GSM1225469",0.86096,0.65529,0.729607777777778,0.732889166666667,0,"never","GSE50660"
"GSM1225470",0.8572,0.62042,0.707754444444444,0.709053333333333,1,"former","GSE50660"
"GSM1225471",0.85595,0.64248,0.732508888888889,0.735740833333333,1,"former","GSE50660"
"GSM1225472",0.52816,0.498085,0.633765555555556,0.63242,1,"former","GSE50660"
"GSM1225473",0.85125,0.6539625,0.743308888888889,0.745986666666667,1,"former","GSE50660"
"GSM1225474",0.78473,0.6642375,0.758373333333333,0.766203333333333,0,"never","GSE50660"
"GSM1225475",0.80986,0.575925,0.672316666666667,0.673228333333333,1,"former","GSE50660"
"GSM1225476",0.5576,0.50937,0.636428888888889,0.66284,1,"former","GSE50660"
"GSM1225477",0.70541,0.5780475,0.676932222222222,0.695560833333333,1,"former","GSE50660"
"GSM1225478",0.85904,0.636435,0.730626666666667,0.72796,1,"former","GSE50660"
"GSM1225479",0.67389,0.61327,0.709654444444444,0.722739166666667,1,"former","GSE50660"
"GSM1225480",0.86114,0.6468275,0.744132222222222,0.742716666666667,1,"former","GSE50660"
"GSM1225481",0.86163,0.6386375,0.73429,0.739116666666667,1,"former","GSE50660"
"GSM1225482",0.81943,0.5933525,0.683503333333333,0.693271666666667,1,"former","GSE50660"
"GSM1225483",0.54593,0.4892675,0.630533333333333,0.6477325,1,"former","GSE50660"
"GSM1225484",0.55878,0.50957,0.638135555555556,0.659796666666667,1,"former","GSE50660"
"GSM1225485",0.68988,0.548335,0.66261,0.629689166666667,1,"former","GSE50660"
"GSM1225486",0.82579,0.6540475,0.739315555555555,0.737589166666667,1,"former","GSE50660"
"GSM1225487",0.84131,0.6527425,0.725311111111111,0.735454166666667,1,"former","GSE50660"
"GSM1225488",0.66934,0.5698675,0.683637777777778,0.670861666666667,1,"former","GSE50660"
